javascript,js,ecmascript,javascript
typescript,ts,typescript
penetration testing,pen test,penetration testing
vulnerability assessment,vuln assessment,vulnerability assessment
ethical hacking,ethical hacking
owasp,owasp top 10,owasp
xss,cross site scripting,xss
csrf,cross site request forgery,csrf
sql injection,sqli,sql injection
command injection,command injection
remote code execution,rce,remote code execution
security architecture,security architecture
zero trust,zero trust architecture,zero trust
role based access control,rbac,role based access control
attribute based access control,abac,attribute based access control
least privilege,least privilege principle,least privilege
firewall,firewall
web application firewall,waf,web application firewall
siem,siem
intrusion detection system,ids,intrusion detection system
intrusion prevention system,ips,intrusion prevention system
mfa,multi-factor authentication,mfa
2fa,two-factor authentication,2fa
logging security,security logging
audit trail,audit trail
security monitoring,security monitoring
security policy,security policy
compliance,compliance
gdpr,gdpr
hipaa,hipaa
secure coding,secure coding
dependency scanning,dependency check,dependency scanning
code review,code review
hadoop,hadoop
spark,apache spark,spark
kafka,apache kafka,kafka
flink,apache flink,flink
airflow,airflow
dbt,dbt
pandas,pandas
numpy,numpy
scipy,scipy
matplotlib,matplotlib
seaborn,seaborn
scikit-learn,sklearn,scikit-learn
tensorflow,tensorflow
keras,keras
pytorch,pytorch
jax,jax
machine learning,ml,machine learning
deep learning,dl,deep learning
reinforcement learning,rl,reinforcement learning
natural language processing,nlp,natural language processing
spaCy,spacy
nltk,nltk
transformers,transformers
gpt,gpt
bert,bert
word2vec,word2vec
computer vision,cv,computer vision
opencv,opencv
pillow,pillow
yolov5,yolov5
detectron2,detectron2
feature engineering,feature engineering
data preprocessing,data preprocessing
data cleaning,data cleaning
dimensionality reduction,dim reduction,dimensionality reduction
pca,pca
tsne,tsne
umap,umap
model deployment,model deployment
mlops,mlops
docker for ml,docker ml,docker for ml
tensorflow serving,tensorflow serving
torchserve,torchserve
evaluation metrics,model metrics,evaluation metrics
accuracy,accuracy
precision,precision
recall,recall
f1 score,f1,f1 score
roc auc,roc auc
time series,time series analysis,time series
arima,arima
prophet,prophet
lstm,lstm
gru,gru
recommendation system,recommender system,recommendation system
collaborative filtering,collaborative filtering
content-based filtering,content-based recommendation
big data,big data
data warehouse,data warehouse
data lake,data lake
etl,etl
data pipeline,data pipeline
websocket,websocket
grpc,grpc
rest api,rest,restful api
graphql,graphql
soap,soap
api gateway,api gateway
thrift,apache thrift,thrift
json api,json api
xml api,xml api
unity,unity
unreal,unreal engine,unreal
godot,godot
solidity,solidity
web3,web3,ethereum
smart contract,smart contract
arduino,arduino
embedded c,embedded c
raspberry pi,raspberry pi
iot,iot,internet of things
esp32,esp32
microcontroller,microcontroller
fpga,fpga
game physics,game physics
ai in games,game ai,ai in games
shader programming,shader programming
vr development,vr development
ar development,ar development
blockchain development,blockchain development
defi,defi
nft,nft
cryptography,cryptography
iot protocols,mqtt,mqtt
coap,coap
zigbee,zigbee
ble,bluetooth low energy,ble
hardware interfacing,hardware interfacing
real-time systems,real time systems,real-time systems
embedded linux,embedded linux
sensor integration,sensor integration
actuator programming,actuator programming
edge computing,edge computing
low power devices,low power devices
